path,asset_class,language,bytes,loc,tracked,dependency_graph_included
test/test_agent/test_compensation.py,test,py,983,32,True,True
test/test_agent/test_composite.py,test,py,5567,135,True,True
test/test_agent/test_context.py,test,py,4011,110,True,True
test/test_agent/test_council.py,test,py,4636,113,True,True
test/test_agent/test_factory.py,test,py,4562,117,True,True
test/test_agent/test_integration.py,test,py,7203,191,True,True
test/test_agent/test_interfaces.py,test,py,2605,88,True,True
test/test_agent/test_llm_agent.py,test,py,7306,210,True,True
test/test_agent/test_orchestrator.py,test,py,15818,420,True,True
test/test_agent/test_real_llm.py,test,py,9373,224,True,True
test/test_agent/test_registry.py,test,py,2980,89,True,True
test/test_agent/test_runner.py,test,py,5999,182,True,True
test/test_agent/test_strategies.py,test,py,6596,186,True,True
test/test_agent/test_supervisor.py,test,py,3441,83,True,True
test/test_agent/test_types.py,test,py,5855,185,True,True
test/test_application_services.py,test,py,2762,91,True,True
test/test_context_assembly.py,test,py,3140,79,True,True
test/test_document_temporal_integration.py,test,py,4135,109,True,True
test/test_document_worker.py,test,py,5582,147,True,True
test/test_document_worker_migration_contract.py,test,py,1069,24,True,True
test/test_durable_agent_contract.py,test,py,4690,128,True,True
test/test_durable_agent_hardening.py,test,py,22351,690,True,True
test/test_durable_agent_temporal_integration.py,test,py,5539,194,True,True
test/test_durable_agent_worker_kill.py,test,py,5496,166,True,True
test/test_file_action_approval_contract.py,test,py,2281,53,True,True
test/test_file_analysis_tools.py,test,py,5664,143,True,True
test/test_file_assistant_f0.py,test,py,5329,136,True,True
test/test_file_capability_config.py,test,py,3340,98,True,True
test/test_file_cleanup.py,test,py,1741,48,True,True
test/test_file_lineage_migration_contract.py,test,py,836,17,True,True
test/test_file_output.py,test,py,4094,106,True,True
test/test_file_read_tools.py,test,py,8695,231,True,True
test/test_file_upload_contract.py,test,py,1320,38,True,True
test/test_file_version_tools.py,test,py,4700,115,True,True
test/test_file_workspace_migration_contract.py,test,py,1898,49,True,True
test/test_file_workspace_security.py,test,py,3053,83,True,True
test/test_hindsight.py,test,py,6286,193,True,True
test/test_hindsight_retain_document.py,test,py,4725,150,True,True
test/test_identity_command_interception.py,test,py,2782,94,True,True
test/test_logging.py,test,py,4567,140,True,True
