source,kind,expression,target,task_queue,evidence,config_gates
test/test_web_temporal_integration.py::_run_crash_agent_worker.run.crash_execute,DEFINITION_ACTIVITY,execute_agent_activity,test/test_web_temporal_integration.py::_run_crash_agent_worker.run.crash_execute,,test/test_web_temporal_integration.py:89,
test/test_web_temporal_integration.py::test_td_001_real_temporal_duplicate_start_executes_agent_once,REGISTER_LIFECYCLE_ACTIVITIES,integration_prepare,test/test_web_temporal_integration.py::integration_prepare,lifecycle_activities,test/test_web_temporal_integration.py:115,
test/test_web_temporal_integration.py::test_td_001_real_temporal_duplicate_start_executes_agent_once,REGISTER_LIFECYCLE_ACTIVITIES,integration_finalize_failed,test/test_web_temporal_integration.py::integration_finalize_failed,lifecycle_activities,test/test_web_temporal_integration.py:116,
test/test_web_temporal_integration.py::test_td_001_real_temporal_duplicate_start_executes_agent_once,REGISTER_LIFECYCLE_ACTIVITIES,integration_finalize_cancelled,test/test_web_temporal_integration.py::integration_finalize_cancelled,lifecycle_activities,test/test_web_temporal_integration.py:117,
test/test_web_temporal_integration.py::test_td_001_real_temporal_duplicate_start_executes_agent_once,REGISTER_AGENT_ACTIVITIES,integration_execute,test/test_web_temporal_integration.py::integration_execute,agent_activities,test/test_web_temporal_integration.py:119,
test/test_web_temporal_integration.py::test_td_005_agent_worker_sigkill_heartbeat_timeout_fails_without_retry,REGISTER_WORKFLOWS,WebRunWorkflow,src/orchestration/web_workflow.py::WebRunWorkflow,WEB_LIFECYCLE_TASK_QUEUE,test/test_web_temporal_integration.py:158,
test/test_web_temporal_integration.py::test_td_005_agent_worker_sigkill_heartbeat_timeout_fails_without_retry,REGISTER_ACTIVITIES,integration_prepare,test/test_web_temporal_integration.py::integration_prepare,WEB_LIFECYCLE_TASK_QUEUE,test/test_web_temporal_integration.py:160,
test/test_web_temporal_integration.py::test_td_005_agent_worker_sigkill_heartbeat_timeout_fails_without_retry,REGISTER_ACTIVITIES,integration_finalize_failed,test/test_web_temporal_integration.py::integration_finalize_failed,WEB_LIFECYCLE_TASK_QUEUE,test/test_web_temporal_integration.py:161,
test/test_web_temporal_integration.py::test_td_005_agent_worker_sigkill_heartbeat_timeout_fails_without_retry,REGISTER_ACTIVITIES,integration_finalize_cancelled,test/test_web_temporal_integration.py::integration_finalize_cancelled,WEB_LIFECYCLE_TASK_QUEUE,test/test_web_temporal_integration.py:162,
test/test_web_temporal_integration.py::test_td_006_td_019_real_temporal_failure_uses_domain_truth_without_retry,REGISTER_LIFECYCLE_ACTIVITIES,integration_prepare,test/test_web_temporal_integration.py::integration_prepare,lifecycle_activities,test/test_web_temporal_integration.py:236,
test/test_web_temporal_integration.py::test_td_006_td_019_real_temporal_failure_uses_domain_truth_without_retry,REGISTER_LIFECYCLE_ACTIVITIES,integration_finalize_failed,test/test_web_temporal_integration.py::integration_finalize_failed,lifecycle_activities,test/test_web_temporal_integration.py:237,
